job_id,user_id,user_expected_salary,job_title,salary_min,salary_max,city,state
94498,1905946,2500,"[{""id"":1,""title"":""Chinese"",""prefix"":""zh"",""value"":""""},{""id"":2,""title"":""English"",""prefix"":""en"",""value"":""Catering Supervisor""},{""id"":4,""title"":""Bahasa Malaysia"",""prefix"":""ms"",""value"":""""}]",2000,2500,Subang Jaya,Selangor
94802,3985886,2800,"[{""id"":1,""title"":""Chinese"",""prefix"":""zh"",""value"":""""},{""id"":2,""title"":""English"",""prefix"":""en"",""value"":""Audit Assistant""},{""id"":4,""title"":""Bahasa Malaysia"",""prefix"":""ms"",""value"":""""}]",1200,1800,Jalan Gombak,Kuala Lumpur
94968,4041638,2500,"[{""id"":1,""title"":""Chinese"",""prefix"":""zh"",""value"":""""},{""id"":2,""title"":""English"",""prefix"":""en"",""value"":""Design Drafter""},{""id"":4,""title"":""Bahasa Malaysia"",""prefix"":""ms"",""value"":""""}]",2200,2600,Shah Alam,Selangor
95047,2528028,1900,"[{""id"":1,""title"":""Chinese"",""prefix"":""zh"",""value"":""""},{""id"":2,""title"":""English"",""prefix"":""en"",""value"":""Service Attendant""},{""id"":4,""title"":""Bahasa Malaysia"",""prefix"":""ms"",""value"":""Servis Krew""}]",1100,1500,Bukit Jalil,Kuala Lumpur
95161,2296643,2500,"[{""id"":1,""title"":""Chinese"",""prefix"":""zh"",""value"":""""},{""id"":2,""title"":""English"",""prefix"":""en"",""value"":""Contract and Commercial Manager""},{""id"":4,""title"":""Bahasa Malaysia"",""prefix"":""ms"",""value"":""""}]",1500,1800,Muar,Johor
95493,3690883,1200,"[{""id"":1,""title"":""Chinese"",""prefix"":""zh"",""value"":""头发技师和染发师""},{""id"":2,""title"":""English"",""prefix"":""en"",""value"":""Aesthetic Beauty Therapist""},{""id"":4,""title"":""Bahasa Malaysia"",""prefix"":""ms"",""value"":""Ahli Terapi Kecantikan""}]",1500,4000,Desa Sri Hartamas,Kuala Lumpur
95493,3690883,1200,"[{""id"":1,""title"":""Chinese"",""prefix"":""zh"",""value"":""头发技师和染发师""},{""id"":2,""title"":""English"",""prefix"":""en"",""value"":""Aesthetic Beauty Therapist""},{""id"":4,""title"":""Bahasa Malaysia"",""prefix"":""ms"",""value"":""Ahli Terapi Kecantikan""}]",1500,4000,Petaling Jaya,Selangor
95653,3563560,2000,"[{""id"":1,""title"":""Chinese"",""prefix"":""zh"",""value"":""""},{""id"":2,""title"":""English"",""prefix"":""en"",""value"":""Machinist""},{""id"":4,""title"":""Bahasa Malaysia"",""prefix"":""ms"",""value"":""Machinist""}]",1800,2300,Shah Alam,Selangor
96902,3713025,2000,"[{""id"":1,""title"":""Chinese"",""prefix"":""zh"",""value"":""""},{""id"":2,""title"":""English"",""prefix"":""en"",""value"":""Teacher of Special Education""},{""id"":4,""title"":""Bahasa Malaysia"",""prefix"":""ms"",""value"":""""}]",1200,1800,Kajang,Selangor
96902,3713025,2000,"[{""id"":1,""title"":""Chinese"",""prefix"":""zh"",""value"":""""},{""id"":2,""title"":""English"",""prefix"":""en"",""value"":""Teacher of Special Education""},{""id"":4,""title"":""Bahasa Malaysia"",""prefix"":""ms"",""value"":""""}]",1200,1800,Ampang,Selangor
96990,3890550,4300,"[{""id"":1,""title"":""Chinese"",""prefix"":""zh"",""value"":""""},{""id"":2,""title"":""English"",""prefix"":""en"",""value"":""Graphic Designer cum Video Editor""},{""id"":4,""title"":""Bahasa Malaysia"",""prefix"":""ms"",""value"":""""}]",3000,4500,Cheras,Kuala Lumpur
97032,3735313,3000,"[{""id"":1,""title"":""Chinese"",""prefix"":""zh"",""value"":""""},{""id"":2,""title"":""English"",""prefix"":""en"",""value"":""Business Development Officer""},{""id"":4,""title"":""Bahasa Malaysia"",""prefix"":""ms"",""value"":""Pegawai Pembangunan Perniagaan""}]",1700,2000,Pandan Perdana,Kuala Lumpur
97044,1905946,2500,"[{""id"":1,""title"":""Chinese"",""prefix"":""zh"",""value"":""门市销售员与管理者""},{""id"":2,""title"":""English"",""prefix"":""en"",""value"":""Landscape Executive""},{""id"":4,""title"":""Bahasa Malaysia"",""prefix"":""ms"",""value"":""""}]",2500,4000,Sungai Buloh,Selangor
97290,3528310,1500,"[{""id"":1,""title"":""Chinese"",""prefix"":""zh"",""value"":""""},{""id"":2,""title"":""English"",""prefix"":""en"",""value"":""Hostess""},{""id"":4,""title"":""Bahasa Malaysia"",""prefix"":""ms"",""value"":""""}]",1800,2500,Kuala Lumpur,Kuala Lumpur
97327,3871237,1800,"[{""id"":1,""title"":""Chinese"",""prefix"":""zh"",""value"":""""},{""id"":2,""title"":""English"",""prefix"":""en"",""value"":""Multimedia Designer ""},{""id"":4,""title"":""Bahasa Malaysia"",""prefix"":""ms"",""value"":""""}]",2500,3000,Iskandar Puteri,Johor
97411,4040070,1000,"[{""id"":1,""title"":""Chinese"",""prefix"":""zh"",""value"":""Cake Mixer""},{""id"":2,""title"":""English"",""prefix"":""en"",""value"":""Cake Mixer cum Baking""},{""id"":4,""title"":""Bahasa Malaysia"",""prefix"":""ms"",""value"":""Pembuat Kek""}]",1400,2500,Shah Alam,Selangor
97411,4040070,1000,"[{""id"":1,""title"":""Chinese"",""prefix"":""zh"",""value"":""Cake Mixer""},{""id"":2,""title"":""English"",""prefix"":""en"",""value"":""Cake Mixer cum Baking""},{""id"":4,""title"":""Bahasa Malaysia"",""prefix"":""ms"",""value"":""Pembuat Kek""}]",1400,2500,Subang Jaya,Selangor
97411,4040070,1000,"[{""id"":1,""title"":""Chinese"",""prefix"":""zh"",""value"":""Cake Mixer""},{""id"":2,""title"":""English"",""prefix"":""en"",""value"":""Cake Mixer cum Baking""},{""id"":4,""title"":""Bahasa Malaysia"",""prefix"":""ms"",""value"":""Pembuat Kek""}]",1400,2500,Sri Petaling,Kuala Lumpur
97843,3902025,1800,"[{""id"":1,""title"":""Chinese"",""prefix"":""zh"",""value"":""""},{""id"":2,""title"":""English"",""prefix"":""en"",""value"":""Finance Manager""},{""id"":4,""title"":""Bahasa Malaysia"",""prefix"":""ms"",""value"":""""}]",4500,5500,Bandar Sri Damansara,Kuala Lumpur
98031,3563560,2000,"[{""id"":1,""title"":""Chinese"",""prefix"":""zh"",""value"":""""},{""id"":2,""title"":""English"",""prefix"":""en"",""value"":""Crane Operator""},{""id"":4,""title"":""Bahasa Malaysia"",""prefix"":""ms"",""value"":""Pemandu Kren""}]",1200,2500,Pelabuhan Klang,Selangor
98146,2228261,1800,"[{""id"":1,""title"":""Chinese"",""prefix"":""zh"",""value"":""Pengurus Pelatih-经理培训 （麻省理工学院）""},{""id"":2,""title"":""English"",""prefix"":""en"",""value"":""Manager in Training (MIT)""},{""id"":4,""title"":""Bahasa Malaysia"",""prefix"":""ms"",""value"":""Pelatih Pengurus (MIT)""}]",0,1700,Damansara,Selangor
98146,2145187,1200,"[{""id"":1,""title"":""Chinese"",""prefix"":""zh"",""value"":""Pengurus Pelatih-经理培训 （麻省理工学院）""},{""id"":2,""title"":""English"",""prefix"":""en"",""value"":""Manager in Training (MIT)""},{""id"":4,""title"":""Bahasa Malaysia"",""prefix"":""ms"",""value"":""Pelatih Pengurus (MIT)""}]",0,1700,Damansara,Selangor
98172,173265,1900,"[{""id"":1,""title"":""Chinese"",""prefix"":""zh"",""value"":""""},{""id"":2,""title"":""English"",""prefix"":""en"",""value"":""Assistant Daycare Teacher""},{""id"":4,""title"":""Bahasa Malaysia"",""prefix"":""ms"",""value"":""""}]",1600,2000,Jalan Klang Lama,Kuala Lumpur
98237,3827703,1600,"[{""id"":1,""title"":""Chinese"",""prefix"":""zh"",""value"":""""},{""id"":2,""title"":""English"",""prefix"":""en"",""value"":""Cashier Retail""},{""id"":4,""title"":""Bahasa Malaysia"",""prefix"":""ms"",""value"":""Cashier""}]",1200,1800,Shah Alam,Selangor
99382,4039989,2000,"[{""id"":1,""title"":""Chinese"",""prefix"":""zh"",""value"":""""},{""id"":2,""title"":""English"",""prefix"":""en"",""value"":""Financial Consultant""},{""id"":4,""title"":""Bahasa Malaysia"",""prefix"":""ms"",""value"":""""}]",2000,30000,Imbi,Kuala Lumpur
99382,4039989,2000,"[{""id"":1,""title"":""Chinese"",""prefix"":""zh"",""value"":""""},{""id"":2,""title"":""English"",""prefix"":""en"",""value"":""Financial Consultant""},{""id"":4,""title"":""Bahasa Malaysia"",""prefix"":""ms"",""value"":""""}]",2000,30000,Kota Bharu,Kelantan
99640,1451597,1900,"[{""id"":1,""title"":""Chinese"",""prefix"":""zh"",""value"":""""},{""id"":2,""title"":""English"",""prefix"":""en"",""value"":""Marketing Assistant""},{""id"":4,""title"":""Bahasa Malaysia"",""prefix"":""ms"",""value"":""""}]",1800,2200,Johor Bahru,Johor
99705,3986130,1600,"[{""id"":1,""title"":""Chinese"",""prefix"":""zh"",""value"":""""},{""id"":2,""title"":""English"",""prefix"":""en"",""value"":""Sales Admin""},{""id"":4,""title"":""Bahasa Malaysia"",""prefix"":""ms"",""value"":""Kerani Jualan""}]",1200,1700,Batu Caves,Selangor
99732,3559467,4000,"[{""id"":1,""title"":""Chinese"",""prefix"":""zh"",""value"":""""},{""id"":2,""title"":""English"",""prefix"":""en"",""value"":""Account Payable Executive ""},{""id"":4,""title"":""Bahasa Malaysia"",""prefix"":""ms"",""value"":""""}]",1000,3500,Puchong,Selangor
99797,249492,1800,"[{""id"":1,""title"":""Chinese"",""prefix"":""zh"",""value"":""""},{""id"":2,""title"":""English"",""prefix"":""en"",""value"":""Admin Assistant""},{""id"":4,""title"":""Bahasa Malaysia"",""prefix"":""ms"",""value"":""Pembantu Tadbir""}]",1100,1200,Shah Alam,Selangor
99804,3369300,1500,"[{""id"":1,""title"":""Chinese"",""prefix"":""zh"",""value"":""""},{""id"":2,""title"":""English"",""prefix"":""en"",""value"":""Preschool Teacher""},{""id"":4,""title"":""Bahasa Malaysia"",""prefix"":""ms"",""value"":""Guru Tadika""}]",1100,1600,Bestari Jaya,Selangor
99822,4039321,3000,"[{""id"":1,""title"":""Chinese"",""prefix"":""zh"",""value"":""""},{""id"":2,""title"":""English"",""prefix"":""en"",""value"":""Site Supervisor ""},{""id"":4,""title"":""Bahasa Malaysia"",""prefix"":""ms"",""value"":""""}]",2500,3000,Cheras,Selangor
99887,4040110,2200,"[{""id"":1,""title"":""Chinese"",""prefix"":""zh"",""value"":""""},{""id"":2,""title"":""English"",""prefix"":""en"",""value"":""Kitchen Staff""},{""id"":4,""title"":""Bahasa Malaysia"",""prefix"":""ms"",""value"":""""}]",1600,2500,Puchong,Selangor
99887,4040110,2200,"[{""id"":1,""title"":""Chinese"",""prefix"":""zh"",""value"":""""},{""id"":2,""title"":""English"",""prefix"":""en"",""value"":""Kitchen Staff""},{""id"":4,""title"":""Bahasa Malaysia"",""prefix"":""ms"",""value"":""""}]",1600,2500,Subang Jaya,Selangor
99939,274,1500,"[{""id"":1,""title"":""Chinese"",""prefix"":""zh"",""value"":""""},{""id"":2,""title"":""English"",""prefix"":""en"",""value"":""Operation Executive""},{""id"":4,""title"":""Bahasa Malaysia"",""prefix"":""ms"",""value"":""Eksekutif Operasi""}]",1000,1500,Cameron Highlands,Pahang
99948,173265,1900,"[{""id"":1,""title"":""Chinese"",""prefix"":""zh"",""value"":""""},{""id"":2,""title"":""English"",""prefix"":""en"",""value"":""Teacher cum Caregiver""},{""id"":4,""title"":""Bahasa Malaysia"",""prefix"":""ms"",""value"":""""}]",1500,2300,Petaling Jaya,Selangor
99992,2550112,1500,"[{""id"":1,""title"":""Chinese"",""prefix"":""zh"",""value"":""""},{""id"":2,""title"":""English"",""prefix"":""en"",""value"":""Assistant Production""},{""id"":4,""title"":""Bahasa Malaysia"",""prefix"":""ms"",""value"":""""}]",1400,2000,Jenjarom,Selangor
100057,3858989,1200,"[{""id"":1,""title"":""Chinese"",""prefix"":""zh"",""value"":""""},{""id"":2,""title"":""English"",""prefix"":""en"",""value"":""Junior Barista ""},{""id"":4,""title"":""Bahasa Malaysia"",""prefix"":""ms"",""value"":""""}]",1200,1800,Kuantan,Pahang
100070,3818819,2800,"[{""id"":1,""title"":""Chinese"",""prefix"":""zh"",""value"":""""},{""id"":2,""title"":""English"",""prefix"":""en"",""value"":""Lorry Driver""},{""id"":4,""title"":""Bahasa Malaysia"",""prefix"":""ms"",""value"":""Pemandu Lori""}]",2500,2800,Seri Kembangan,Selangor
100105,3871237,1800,"[{""id"":1,""title"":""Chinese"",""prefix"":""zh"",""value"":""""},{""id"":2,""title"":""English"",""prefix"":""en"",""value"":""Graphic Designer Cum Videographer""},{""id"":4,""title"":""Bahasa Malaysia"",""prefix"":""ms"",""value"":""""}]",1500,2200,Johor Bahru,Johor
100122,3527299,1200,"[{""id"":1,""title"":""Chinese"",""prefix"":""zh"",""value"":""""},{""id"":2,""title"":""English"",""prefix"":""en"",""value"":""Operator""},{""id"":4,""title"":""Bahasa Malaysia"",""prefix"":""ms"",""value"":""""}]",1200,1800,Ulu Tiram,Johor
100415,1515377,2400,"[{""id"":1,""title"":""Chinese"",""prefix"":""zh"",""value"":""""},{""id"":2,""title"":""English"",""prefix"":""en"",""value"":""Kindergarten Teacher""},{""id"":4,""title"":""Bahasa Malaysia"",""prefix"":""ms"",""value"":""Guru Tadika""}]",1000,1200,Johor Bahru,Johor
100538,4040094,3500,"[{""id"":1,""title"":""Chinese"",""prefix"":""zh"",""value"":""""},{""id"":2,""title"":""English"",""prefix"":""en"",""value"":""Junior Graphic Designer""},{""id"":4,""title"":""Bahasa Malaysia"",""prefix"":""ms"",""value"":""""}]",2000,3500,Petaling Jaya,Selangor
100680,3773080,2500,"[{""id"":1,""title"":""Chinese"",""prefix"":""zh"",""value"":""""},{""id"":2,""title"":""English"",""prefix"":""en"",""value"":""Business Development Executive""},{""id"":4,""title"":""Bahasa Malaysia"",""prefix"":""ms"",""value"":""""}]",2500,3000,Subang Jaya,Selangor
100680,3773080,2500,"[{""id"":1,""title"":""Chinese"",""prefix"":""zh"",""value"":""""},{""id"":2,""title"":""English"",""prefix"":""en"",""value"":""Business Development Executive""},{""id"":4,""title"":""Bahasa Malaysia"",""prefix"":""ms"",""value"":""""}]",2500,3000,Penang Hill,Pulau Pinang
100680,3773080,2500,"[{""id"":1,""title"":""Chinese"",""prefix"":""zh"",""value"":""""},{""id"":2,""title"":""English"",""prefix"":""en"",""value"":""Business Development Executive""},{""id"":4,""title"":""Bahasa Malaysia"",""prefix"":""ms"",""value"":""""}]",2500,3000,Johor Bahru,Johor
100755,1565373,2100,"[{""id"":1,""title"":""Chinese"",""prefix"":""zh"",""value"":""""},{""id"":2,""title"":""English"",""prefix"":""en"",""value"":""Chef Commis""},{""id"":4,""title"":""Bahasa Malaysia"",""prefix"":""ms"",""value"":""""}]",1500,1800,KLCC,Kuala Lumpur
100778,2528028,1500,"[{""id"":1,""title"":""Chinese"",""prefix"":""zh"",""value"":""""},{""id"":2,""title"":""English"",""prefix"":""en"",""value"":""Dish Washer""},{""id"":4,""title"":""Bahasa Malaysia"",""prefix"":""ms"",""value"":""""}]",1400,1500,KLCC,Kuala Lumpur
100780,4038541,1800,"[{""id"":1,""title"":""Chinese"",""prefix"":""zh"",""value"":""""},{""id"":2,""title"":""English"",""prefix"":""en"",""value"":""Technician cum Transporter""},{""id"":4,""title"":""Bahasa Malaysia"",""prefix"":""ms"",""value"":""""}]",1500,1800,Puchong,Selangor
100897,3093982,2200,"[{""id"":1,""title"":""Chinese"",""prefix"":""zh"",""value"":""文职员""},{""id"":2,""title"":""English"",""prefix"":""en"",""value"":""Admin Assistant""},{""id"":4,""title"":""Bahasa Malaysia"",""prefix"":""ms"",""value"":""""}]",1600,1800,Sungai Besi,Kuala Lumpur
100897,1577066,1900,"[{""id"":1,""title"":""Chinese"",""prefix"":""zh"",""value"":""文职员""},{""id"":2,""title"":""English"",""prefix"":""en"",""value"":""Admin Assistant""},{""id"":4,""title"":""Bahasa Malaysia"",""prefix"":""ms"",""value"":""""}]",1600,1800,Sungai Besi,Kuala Lumpur
100897,4033112,2500,"[{""id"":1,""title"":""Chinese"",""prefix"":""zh"",""value"":""文职员""},{""id"":2,""title"":""English"",""prefix"":""en"",""value"":""Admin Assistant""},{""id"":4,""title"":""Bahasa Malaysia"",""prefix"":""ms"",""value"":""""}]",1600,1800,Sungai Besi,Kuala Lumpur
101038,4039321,3000,"[{""id"":1,""title"":""Chinese"",""prefix"":""zh"",""value"":""""},{""id"":2,""title"":""English"",""prefix"":""en"",""value"":""Construction Site Engineering""},{""id"":4,""title"":""Bahasa Malaysia"",""prefix"":""ms"",""value"":""""}]",3000,5000,Jalan Raja Chulan,Kuala Lumpur
101095,3849452,2300,"[{""id"":1,""title"":""Chinese"",""prefix"":""zh"",""value"":""""},{""id"":2,""title"":""English"",""prefix"":""en"",""value"":""Audit Assistant ""},{""id"":4,""title"":""Bahasa Malaysia"",""prefix"":""ms"",""value"":""""}]",1800,2300,Kepong,Kuala Lumpur
101294,2065657,1800,"[{""id"":1,""title"":""Chinese"",""prefix"":""zh"",""value"":""""},{""id"":2,""title"":""English"",""prefix"":""en"",""value"":""Nurse/Clinic Assistant""},{""id"":4,""title"":""Bahasa Malaysia"",""prefix"":""ms"",""value"":""Pembantu Klinik""}]",1200,1500,Cheras,Selangor
101413,2394292,500,"[{""id"":1,""title"":""Chinese"",""prefix"":""zh"",""value"":""""},{""id"":2,""title"":""English"",""prefix"":""en"",""value"":""Product Packing""},{""id"":4,""title"":""Bahasa Malaysia"",""prefix"":""ms"",""value"":""Pembungkusan Produk""}]",1400,1800,Cheras,Kuala Lumpur
101422,3533137,5500,"[{""id"":1,""title"":""Chinese"",""prefix"":""zh"",""value"":""""},{""id"":2,""title"":""English"",""prefix"":""en"",""value"":""Digital Marketing Executive""},{""id"":4,""title"":""Bahasa Malaysia"",""prefix"":""ms"",""value"":""""}]",3500,6000,Puchong,Selangor
101593,3297933,2400,"[{""id"":1,""title"":""Chinese"",""prefix"":""zh"",""value"":""""},{""id"":2,""title"":""English"",""prefix"":""en"",""value"":""Warehouse Assistant""},{""id"":4,""title"":""Bahasa Malaysia"",""prefix"":""ms"",""value"":""""}]",1500,1600,Pelabuhan Klang,Selangor
